id	filename	md5	size	state
4ff94776-9cab-466a-bd0a-c4fbe2654fd8	6929718043_R04C01_Red.idat	082413253dee42fb2e8a029f647a178e	8095256	live
76f72e1f-641f-43c3-900e-9a0c6e4dcd44	6042324070_R02C01_Grn.idat	c668bbafe66cee2bba06b1a1b2fa9a60	8095308	live
c7b6333f-6406-415c-89b4-2f1c85013425	6005486013_R06C01_Red.idat	c42cd85e5629abd254d5c8d0b3d101a9	8091485	live
a1701810-8a7b-4071-b35a-d97bddf2a1ba	6005486011_R04C02_Grn.idat	ee19882f95f08b0d14f72c9824edd069	8091485	live
5d504278-6468-417a-93a7-7b4e41b5e1d9	9422492089_R06C02_Red.idat	76f6b18ff46c9141e1c184018d2753f9	8095338	live
3c704a1d-e6c6-453b-a108-f377ad58d3d3	6004791006_R04C01_Red.idat	4787d7150ecfdc54c0d4e91fff17e5c7	8091485	live
525922e1-1060-4050-a1b3-cd291c20600e	9283265014_R02C02_Grn.idat	3fe835683db6fafa0381692e19a0a274	8095279	live
72488acf-a260-459c-a788-598e1e6d8b63	7796806125_R04C02_Grn.idat	31890f2a80d6862555097110aaf173eb	8095232	live
9a82961d-2936-4763-8422-5df94b07e6a3	7786923105_R05C01_Grn.idat	1c2aa0cf6ae37a8415a8d726ed09b024	8095248	live
fd60b926-619f-4a2b-bc5e-3884fb39714b	6026818055_R02C01_Grn.idat	0c8edb63f11b4c16bb322d4e354797a3	8091452	live
cc764017-8221-4152-912f-f2e736c5298a	6026818102_R01C02_Red.idat	c94d59993dbafb15ec93647ac3086df8	8095236	live
dde8b081-2b31-4c91-8abf-58375aed7b2a	6004791020_R04C01_Grn.idat	ded605d681a8bf48368e48da79cc4c40	8091485	live
bcdd412d-cb80-44e7-a0eb-d48e39880a00	6042316130_R06C01_Red.idat	14cb3a503ae07a153129fbf140f34201	8091452	live
bab1d745-945a-4ef5-a6ca-c0b575826ba8	6026818132_R04C01_Red.idat	f3f5e8e7b70132a3cc13afd8dbed29d7	8091452	live
c54e9589-cbf4-4f7a-82d9-65e420c49d10	6005486023_R03C02_Red.idat	53007d413b9568106db0f6e61271da21	8091485	live
ae2d64f9-6cec-408e-86c7-028a2cd0e46d	6042316072_R02C02_Red.idat	cb6487441f6c272a81fa090fbc9daba7	8091452	live
ae3f378e-abd5-4882-8584-55dda9513349	6026818111_R04C02_Red.idat	777c316cffa61fb953513da5c77d3d83	8095231	live
b780cec7-6d14-4520-81a9-73f23408df5c	6005486011_R05C02_Red.idat	29692376dd5b392031c5caa3a4da43a2	8091485	live
1afc8db7-18d3-445e-a697-170ab02674c7	6042324048_R04C01_Red.idat	36fdcb2d9794407a62ef71eca9c406e0	8095290	live
a4b8650f-3c84-48c9-8c96-2ac653e23a12	7796806109_R05C01_Red.idat	801668cb4e549ca05956f6436e74de3f	8095248	live
7d780ff8-cbd7-4f7f-89c0-bce2c6fb398a	6026818132_R06C01_Grn.idat	9d5a74ec4d2b646967b8769bdf141c83	8091452	live
95aaf662-c083-4b70-bffd-4247606c2c2f	6005486014_R06C02_Red.idat	d6f862b62ed3cb2210f36ed2d9cdbcc9	8091485	live
8a331035-4cc7-46b8-82c1-fe6301f3ab9a	6026818144_R01C01_Grn.idat	45c98ba54ea1fc5c8ac268c433450a9c	8095236	live
9d068dcd-e63d-4d7f-a574-30cc31d451ca	9993943017_R04C01_Red.idat	2916643ff6e632bd879329388c2c3c86	8095296	live
ed4905c6-e6c9-44b0-a547-c9fc9218af61	6042324005_R02C02_Grn.idat	21691dafd60c9907499f3a4c4376dd8a	8095199	live
956c0152-04d2-4b08-bcf1-adc833826d5e	6005486025_R02C01_Red.idat	35253e94bc543ec6cdf2dafd7fb87f5d	8091485	live
e81d1ab8-df3d-492a-910e-a626ba3b18eb	6004791004_R05C01_Grn.idat	c5c9dd762c96274752634570c7cfea2b	8091485	live
4881d659-9163-4d53-b038-9fc4cf95b0ea	9993943017_R06C01_Red.idat	d54ef3cae07fe8c827730b82c8952319	8095296	live
5d5cea0f-3af9-4691-bd68-f092b65008fc	6042324070_R06C02_Grn.idat	c4c25c0a89c9f1452bef7c7e2269786f	8095301	live
d2a2451a-6395-453a-b3e3-7b934f7b6e8d	6026818108_R04C01_Grn.idat	1905440d1de3f552c977023cfbfe7d15	8095260	live
cf4777a1-243c-44ca-bef0-74fc00427e7b	6285633051_R05C02_Grn.idat	92e4a1139c2154780a31c30212906785	8095212	live
67bb79fd-623a-4340-8028-eb1cb8870cf3	6026818145_R04C02_Grn.idat	70190bbfe6b81f4f0c21984811f0ecd3	8095236	live
14789090-8d30-4410-8fea-2a729884a6b3	6285633051_R05C01_Red.idat	199b19fb19388419d1da35bddef1969c	8095212	live
713fb376-905b-4191-9b6d-2955f2c02dda	6026818145_R04C01_Grn.idat	308e79b87c279c00d600c04a8ac6fdfc	8095236	live
17b4d54f-f7bb-4e89-a799-ebf60e3790d0	6042324035_R03C02_Red.idat	d77e32397d12aa1d3f282cb6ee9c4b83	8095317	live
e57e9980-8bd6-46ee-9933-bd35eb94d8a1	6042324030_R01C01_Red.idat	f080130a7f9648c110af90d94235238e	8095316	live
1fe0e181-2366-4dab-bf5a-458adf3cadb7	6042324011_R02C01_Grn.idat	d6fe808ff986668284fbe49430a0ee84	8095204	live
d20adb5a-d190-42c1-9551-8c9e5fe49ef4	7796806103_R02C02_Red.idat	c2ac4c1a62e0d25d8f8c7de4d56dfc0a	8095241	live
ff3cd53b-0a23-4115-afe3-27ed267718b2	6057833134_R01C02_Grn.idat	76d8c7fdca219597abd5a06cb66eb720	8095228	live
697eb1a6-3dd7-4666-921c-def70da927a9	6026818122_R06C02_Red.idat	d8f70a65935b3a9beee4090b47faf08f	8095260	live
67c1fff4-ef0a-4168-908a-3609a3463373	6929718030_R04C01_Grn.idat	4519fead44eefaf0dc2e61e8a37774f4	8095262	live
bdab6e93-7bad-4ee0-84fb-4006b04c9600	8784241036_R03C01_Grn.idat	ce9ca81529749c512f1167aa3b7ddbf2	8095311	live
a84cb84a-cf8b-4469-a818-32d87191b227	9993943013_R01C02_Grn.idat	8ecc38db8f76db46833ac9eb5c974046	8095262	live
40911dd1-8577-4d4b-bbb0-2014984a0b0a	7796806032_R05C02_Red.idat	b0c1539cd96789fceece3b41d4c1de1f	8095273	live
4decf903-8ed7-49ae-b1af-25526adaa5ac	6026818135_R04C02_Red.idat	18b410928cf424029383d3031bac4b61	8095236	live
f5438ae2-260a-43ce-adc8-8fbb79ee2a3a	6026818144_R05C01_Red.idat	1f8a208f001f5cae233c759f70fbf1c4	8095236	live
98066394-6585-4f1e-9970-c83549a09f13	6026818055_R04C02_Red.idat	b3e4c982bc09ea349cc1c3d857e209e9	8091452	live
7ee16fa1-f044-4f04-8044-a04dd392edec	6005486005_R03C01_Red.idat	35fcb0e55e82dfb5249101bbdd68a6e5	8091485	live
bef41f25-3c5c-4602-b758-537f4599f49a	6026818144_R05C02_Grn.idat	4d8eec12af2beb16199dfebec8604c9b	8095236	live
f0f7115d-f44f-45b8-8b7c-f856ff4a82cd	6929718030_R03C01_Grn.idat	2da3cc0486e86674369c8f9e724e44e5	8095268	live
3d00a79c-462c-4fc6-869b-606e7a97675f	6229009066_R01C01_Red.idat	e34b94886c978e95494793200ae1efcc	8095225	live
be00b9eb-f9b7-4a72-b698-1a59db140fb0	6026818144_R03C02_Grn.idat	289c7cd6e2f4ec29b7c32ac2b8384ce7	8095232	live
7b131ccf-7813-4c9c-8918-3e211d3b2d42	6004791004_R04C02_Grn.idat	291a1f628c56ebf370e42d4928844fc6	8091485	live
a13fc02d-5549-43b5-ab5d-448132779321	6057833142_R03C02_Grn.idat	4fe2822333ddd6b77f36a2c800540c51	8095228	live
39b52375-e184-44ac-ad73-ce081ed74e65	6229009059_R06C02_Grn.idat	f7c67bd0cd194f2663df5341755f2037	8095258	live
1a927452-140d-4b6c-a45b-36a0cc9def1d	9422492113_R04C01_Grn.idat	348ae1675955ff2ef26ec6125540b99a	8095333	live
c380be69-5e1d-444e-a77c-714d62387bee	6929742015_R01C02_Red.idat	a02a8de7705f22784ac86348807cb910	8095242	live
d83f2a01-414b-4eff-b334-3911b4087c1b	9305216132_R06C02_Grn.idat	83d99936ab981d1048db5668719793b0	8095274	live
5b43aaf6-83a3-4f83-b716-f33f749b3f3f	6026818111_R01C01_Red.idat	b930e87a119c40aad06e356e726e28ec	8095236	live
5625bfdc-4887-4b6f-b519-3e3e810fcf79	6042324005_R05C01_Grn.idat	2733524b546af3a5ccdfe9d246843100	8095198	live
9fd20039-9541-42e1-aeb7-791adaf71176	8784241071_R03C01_Red.idat	177924b97fcc1440192b5bd56769bef3	8095287	live
06d5712d-1a39-42c0-b5ed-d6192ce2da1e	6026818132_R03C01_Red.idat	89a722f5c2f513889478cc171460ce79	8091452	live
